signup_week,users,payers,paid_conversion,paid_conversion_4w_avg
2026-00,103,24,0.23300970873786409,0.23300970873786409
2026-01,200,59,0.295,0.26400485436893206
2026-02,204,40,0.19607843137254902,0.2413627133701377
2026-03,194,31,0.15979381443298968,0.2209704886358507
2026-04,201,47,0.23383084577114427,0.22117577289417073
2026-05,195,49,0.2512820512820513,0.21024628571468357
2026-06,197,37,0.18781725888324874,0.2081809925923585
2026-07,209,51,0.24401913875598086,0.22923732367310629
2026-08,205,45,0.21951219512195122,0.22565766101080803
2026-09,191,44,0.23036649214659685,0.22042877122694443
2026-10,194,49,0.25257731958762886,0.23661878640303946
2026-11,190,48,0.25263157894736843,0.23877189645088634
2026-12,189,40,0.21164021164021163,0.23680390058045145
2026-13,188,36,0.19148936170212766,0.22708461796933416
2026-14,191,38,0.19895287958115182,0.21367850796771487
2026-15,208,51,0.24519230769230768,0.2118186901539497
2026-16,220,42,0.19090909090909092,0.2066359099711695
2026-17,204,46,0.22549019607843138,0.21513611856524545
2026-18,214,45,0.2102803738317757,0.2179679921279014
2026-19,187,51,0.2727272727272727,0.22485173338664266
2026-20,197,44,0.2233502538071066,0.23296202411114658
2026-21,212,38,0.1792452830188679,0.22140079584625572
2026-22,173,47,0.27167630057803466,0.23674977753282048
2026-23,205,51,0.24878048780487805,0.2307630813022218
2026-24,212,42,0.19811320754716982,0.2244538197372376
2026-25,204,44,0.21568627450980393,0.23356406760997162
2026-26,54,10,0.18518518518518517,0.21194128876175924
